condition,cadence,gait_cycle_duration,gait_speed,step_duration,stride_length,trial_number,feedback,delay,amplitude,pink_noise,side,participant,condition_order,condition_labels,pretest_cadence,pretest_gait_cycle_duration,pretest_gait_speed,pretest_step_duration,pretest_stride_length,cadence_delta,gait_cycle_duration_delta,gait_speed_delta,step_duration_delta,stride_length_delta,cadence_delta_no_trend,gait_speed_delta_no_trend,slength_delta_no_trend,cv_cadence,cv_gait_cycle_duration,cv_gait_speed,cv_step_duration,cv_stride_length,pretest_cv_cadence,pretest_cv_gait_cycle_duration,pretest_cv_gait_speed,pretest_cv_step_duration,pretest_cv_stride_length,cv_cadence_delta,cv_gait_cycle_duration_delta,cv_gait_speed_delta,cv_step_duration_delta,cv_stride_length_delta,cv_cadence_delta_no_trend
D,113.8215316,1.054440789,1.425001373,0.526726974,1.500848444,2,1,2,2,0,total,11,2,"Delay High, Amplitude High",111.0859487,1.080468236,1.360699066,0.54022717,1.467115403,2.462582291,-2.408904381,4.725681718,-2.49898501,2.299276589,1.307226153,1.846218873,0.648654361,0.01055464,0.010606347,0.02844614,0.015602103,0.02058975,0.012959757,0.013131931,0.030692972,0.017126575,0.021967665,-18.55834951,-19.2323886,-7.320347827,-8.901209399,-6.272470526,-18.02853013
D,113.4828133,1.05756392,1.406534803,0.528267045,1.485161468,3,1,2,2,0,total,11,2,"Delay High, Amplitude High",111.0859487,1.080468236,1.360699066,0.54022717,1.467115403,2.157666769,-2.119850905,3.368543284,-2.213906605,1.230037185,1.002310631,0.489080439,-0.420585044,0.012750001,0.012858556,0.022469412,0.016161906,0.014517518,0.012959757,0.013131931,0.030692972,0.017126575,0.021967665,-1.618518002,-2.081757816,-26.79297477,-5.632587453,-33.91415164,-1.088698622
D,114.6448854,1.046912202,1.253114822,0.523735119,1.310555975,1,1,2,2,0,total,12,2,"Delay High, Amplitude High",113.155105,1.060694808,1.214429919,0.530025691,1.286661803,1.316582549,-1.299394154,3.18543722,-1.186842909,1.85706702,0.161226412,0.305974375,0.206444791,0.009360111,0.009379984,0.020055992,0.013589299,0.016242991,0.013584186,0.013638525,0.021042871,0.016156035,0.017299579,-31.09553439,-31.22434993,-4.689848083,-15.88716712,-6.107591907,-30.56571501
D,114.357615,1.049441964,1.264045998,0.524888393,1.325431998,2,1,2,2,0,total,12,2,"Delay High, Amplitude High",113.155105,1.060694808,1.214429919,0.530025691,1.286661803,1.062709426,-1.060893694,4.08554482,-0.969254588,3.013238981,-0.092646712,1.206081975,1.362616752,0.013932574,0.01413333,0.024809407,0.015315223,0.019861243,0.013584186,0.013638525,0.021042871,0.016156035,0.017299579,2.564656124,3.627997496,17.8993465,-5.204323437,14.80766892,3.094475504
D,113.4305442,1.058007813,1.261711195,0.528710938,1.333414286,3,1,2,2,0,total,12,2,"Delay High, Amplitude High",113.155105,1.060694808,1.214429919,0.530025691,1.286661803,0.243417358,-0.253324077,3.893289758,-0.248054642,3.633626404,-0.91193878,1.013826913,1.983004175,0.017459874,0.01740226,0.018263213,0.019563584,0.015794502,0.013584186,0.013638525,0.021042871,0.016156035,0.017299579,28.53087827,27.59635243,-13.20949841,21.09149056,-8.700077012,29.06069765
D,116.2816696,1.03209375,1.244667117,0.516125,1.282928223,1,1,2,2,0,total,13,4,"Delay High, Amplitude High",107.0084397,1.125315596,1.085797998,0.562099351,1.210633002,8.665886448,-8.284062358,14.63155391,-8.179043547,5.971687582,6.807378102,9.850602636,3.194345504,0.016588639,0.016485316,0.055320341,0.019174585,0.044864239,0.017216138,0.017407389,0.049419844,0.018282735,0.037899259,-3.644830217,-5.297020708,11.9395298,4.878097563,18.37761525,-3.115010837
D,119.6885249,1.002734375,1.313329459,0.501215278,1.314334099,2,1,2,2,0,total,13,4,"Delay High, Amplitude High",107.0084397,1.125315596,1.085797998,0.562099351,1.210633002,11.84961225,-10.89305268,20.95522941,-10.83155008,8.565857404,9.991103898,16.17427814,5.788515326,0.020675444,0.021319183,0.053132033,0.018808965,0.039777183,0.017216138,0.017407389,0.049419844,0.018282735,0.037899259,20.09339144,22.47203185,7.511535245,2.878287396,4.955041469,20.62321082
D,119.0829854,1.007849702,1.282605769,0.504278274,1.289713212,3,1,2,2,0,total,13,4,"Delay High, Amplitude High",107.0084397,1.125315596,1.085797998,0.562099351,1.210633002,11.28373211,-10.43848447,18.12563403,-10.28662933,6.53213728,9.425223766,13.34468276,3.754795201,0.014384331,0.014417668,0.039807158,0.016864656,0.029056355,0.017216138,0.017407389,0.049419844,0.018282735,0.037899259,-16.44856123,-17.17501114,-19.45106504,-7.756384958,-23.33265672,-15.91874185
D,114.264241,1.050390625,1.352963041,0.525273438,1.419524957,1,1,2,2,0,total,14,3,"Delay High, Amplitude High",106.3271555,1.128932602,1.195710103,0.564134115,1.34797245,7.464777458,-6.957189167,13.15142675,-6.888552911,5.308157967,5.957845216,9.321219696,3.094175814,0.024025758,0.024445596,0.055282158,0.026461994,0.036018511,0.015573916,0.015706509,0.034108924,0.018718989,0.023525297,54.26921527,55.6399103,62.07535013,41.36444266,53.10544645,54.79903465
D,115.4228609,1.040060764,1.376671804,0.519835069,1.429595692,2,1,2,2,0,total,14,3,"Delay High, Amplitude High",106.3271555,1.128932602,1.195710103,0.564134115,1.34797245,8.554451959,-7.872200478,15.13424541,-7.852573497,6.055260402,7.047519717,11.30403835,3.841278249,0.013693663,0.013681182,0.030945458,0.016777236,0.020722327,0.015573916,0.015706509,0.034108924,0.018718989,0.023525297,-12.07309067,-12.89482411,-9.274599222,-10.3731708,-11.91470611,-11.54327129
